,순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,영화코드,영화명(영어),제작년도,영화유형,제작상태,제작국가,영화장르,대표국가,대표 장르,디렉터,제작사,평점
19,20,어벤져스: 인피니티 워,20180425,"100,081,428,549","11,233,176","2,553","243,677",20177478,Avengers: Infinity War,2018,장편,개봉,미국,"액션,어드벤처,판타지,SF",미국,액션,안소니 루소,,9.08
20,21,괴물,20060727,"66,717,700,300","10,917,400",647,"113,105",20060151,The Host,2006,장편,개봉,한국,"SF,가족,드라마",한국,SF,봉준호,영화사청어람(주),8.63
21,22,아바타: 물의 길,20221214,"137,647,702,899","10,805,065","2,809","283,037",20225061,Avatar: The Way of Water,2022,장편,개봉,미국,"액션,어드벤처,SF,스릴러",미국,액션,제임스 카메론,,8.82
22,23,왕의 남자,20051229,"66,019,904,400","10,514,177",313,"111,193",20050333,King and the Clown,2005,장편,개봉,한국,드라마,한국,드라마,이준익,(주)씨네월드,9.04
23,24,어벤져스: 에이지 오브 울트론,20150423,"88,645,598,646","10,504,487","1,843","194,385",20148493,The Avengers: Age of Ultron,2014,장편,개봉,미국,"액션,어드벤처,판타지,SF",미국,액션,조스 웨던,,8.59
24,25,인터스텔라,20141106,"83,072,616,000","10,342,523","1,410","170,542",20149120,Interstellar,2014,장편,개봉,"미국,영국",SF,미국,SF,크리스토퍼 놀란,,9.12
25,26,기생충,20190530,"87,463,965,795","10,313,519","1,948","206,452",20183782,PARASITE,2019,장편,개봉,한국,드라마,한국,드라마,봉준호,(주)바른손이앤에이,9.07
26,27,겨울왕국,20140116,"82,544,207,680","10,305,051","1,010","157,951",20136803,Frozen,2013,장편,개봉,미국,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지",미국,애니메이션,크리스 벅,,
27,28,보헤미안 랩소디,20181031,"86,280,975,785","9,948,386","1,179","232,226",20185485,Bohemian Rhapsody,2018,장편,개봉,미국,드라마,미국,드라마,브라이언 싱어,,9.45
28,29,검사외전,20160203,"77,320,403,264","9,707,581","1,812","153,532",20145507,A Violent Prosecutor,2015,장편,개봉,한국,"범죄,코미디",한국,범죄,이일형,(주)영화사 월광,8.56
29,30,엑시트,20190731,"79,244,333,162","9,427,588","1,660","202,423",20184621,EXIT,2019,장편,개봉,한국,"코미디,액션",한국,코미디,이상근,(주)외유내강,
30,31,설국열차,20130801,"67,035,020,000","9,353,799","1,128","125,777",20126674,Snowpiercer,2013,장편,개봉,"한국,체코","SF,액션",한국,SF,봉준호,모호필름,7.98
31,32,관상,20130911,"66,009,826,500","9,135,806","1,240","125,107",20126091,The Face Reader,2013,장편,개봉,한국,"사극,드라마",한국,사극,한재림,(주)주피터필름,8.02
32,33,아이언맨 3,20130425,"70,809,259,500","9,001,679","1,389","163,596",20121621,Iron Man 3,2013,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,쉐인 블랙,파라마운트 픽쳐스,8.86
33,34,캡틴 아메리카: 시빌 워,20160427,"72,686,676,527","8,678,761","1,991","161,744",20159364,Captain America: Civil War,2015,장편,개봉,미국,"액션,SF,스릴러",미국,액션,안소니 루소,,8.82
34,35,해적: 바다로 간 산적,20140806,"66,372,140,706","8,666,208",910,"133,354",20136064,The Pirates,2014,장편,개봉,한국,어드벤처,한국,어드벤처,이석훈,(주)하리마오픽쳐스,8.51
35,36,수상한 그녀,20140122,"62,721,871,849","8,660,851","1,027","137,012",20131102,Miss Granny,2013,장편,개봉,한국,드라마,한국,드라마,황동혁,(주)예인플러스엔터테인먼트,9.09
36,37,백두산,20191219,"69,831,688,800","8,253,470","1,971","174,506",20192206,ASHFALL,2019,장편,개봉,한국,"어드벤처,드라마",한국,어드벤처,이해준,주식회사 덱스터 픽쳐스,7.47
37,38,과속스캔들,20081203,"53,801,341,400","8,223,342",408,"145,556",20081672,Scandal Makers,2008,장편,개봉,한국,코미디,한국,코미디,강형철,(주)토일렛픽쳐스,9.20
38,39,탑건: 매버릭,20220622,"88,058,080,494","8,195,772","1,975","250,797",20194376,Top Gun: Maverick,2021,장편,개봉,미국,액션,미국,액션,조셉 코신스키,,9.59
39,40,국가대표,20090729,"57,570,773,000","8,035,181",570,"131,671",20090307,Take Off,2009,장편,개봉,한국,"드라마,액션,코미디",한국,드라마,김용화,케이엠컬쳐㈜,8.79
40,41,스파이더맨: 파 프롬 홈,20190702,"69,033,177,100","8,023,606","2,142","181,035",20196309,Spider-Man: Far From Home,2019,장편,개봉,미국,"액션,어드벤처,코미디,SF",미국,액션,존 왓츠,,8.99
41,42,디워,20070801,"49,340,084,700","7,855,474",622,"96,439",20070316,D-War,2007,장편,개봉,한국,"액션,판타지",한국,액션,심형래,㈜영구아트,
42,43,공조,20170118,"63,783,534,886","7,817,686","1,392","142,999",20151228,Confidential Assignment,2016,장편,개봉,한국,액션,한국,액션,김성훈,(주)제이케이필름,7.93
43,44,트랜스포머 3,20110629,"74,842,906,588","7,785,189","1,409","124,464",20110659,Transformers :The Dark Side of the Moon,2011,장편,개봉,미국,"액션,어드벤처",미국,액션,마이클 베이,,7.06
44,45,히말라야,20151216,"60,175,363,015","7,759,761","1,095","142,715",20136068,The Himalayas,2015,장편,개봉,한국,드라마,한국,드라마,이석훈,(주)제이케이필름,8.68
45,46,스파이더맨: 노 웨이 홈,20211215,"75,193,912,210","7,551,990","2,948","276,695",20210028,Spider-Man: No Way Home,2021,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,존 왓츠,,9.09
46,47,미션임파서블:고스트프로토콜,20111215,"57,302,548,500","7,508,976","1,024","114,771",20112207,Mission: Impossible: Ghost Protocol,2011,장편,개봉,미국,액션,미국,액션,브래드 버드,파라마운트 픽쳐스,8.74
47,48,밀정,20160907,"61,270,079,831","7,500,457","1,444","138,162",20159646,The Age of Shadows,2016,장편,개봉,"한국,미국",액션,한국,액션,김지운,(주)다크서클픽쳐스,8.57
48,49,최종병기 활,20110810,"55,827,861,500","7,470,633",615,"130,055",20110302,War of the Arrows,2011,장편,개봉,한국,"사극,액션",한국,사극,김한민,(주)디씨지플러스,
49,50,트랜스포머,20070628,"47,740,418,203","7,405,449",863,"93,109",20070061,Transformers,2007,장편,개봉,미국,"SF,액션,어드벤처",미국,SF,마이클 베이,드림웍스픽쳐스,
50,51,트랜스포머: 패자의 역습,20090624,"50,699,866,000","7,393,443","1,154","115,150",20090303,Transformers: Revenge Of The Fallen,2009,장편,개봉,미국,"SF,액션,어드벤처",미국,SF,마이클 베이,드림웍스 SKG,8.10
51,52,써니,20110504,"54,038,557,200","7,363,142",546,"149,157",20110193,Sunny,2011,장편,개봉,한국,"드라마,코미디",한국,드라마,강형철,(주)알로하픽쳐스,9.12
52,53,한산: 용의 출현,20220727,"73,700,628,377","7,264,934","2,223","217,713",20209343,Hansan: Rising Dragon,2021,장편,개봉,한국,"액션,드라마",한국,액션,김한민,(주)빅스톤픽쳐스,8.54
53,54,스파이더맨: 홈 커밍,20170705,"59,125,813,820","7,258,678","1,965","164,448",20167303,Spider-Man: Homecoming,2017,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,존 왓츠,,9.09
54,55,1987,20171227,"58,170,216,145","7,232,452","1,299","138,231",20170590,1987: When the Day Comes,2017,장편,개봉,한국,드라마,한국,드라마,장준환,(주)우정필름,9.32
55,56,베를린,20130130,"52,358,372,637","7,166,688",894,"111,760",20124083,The Berlin File,2012,장편,개봉,"한국,독일",액션,한국,액션,류승완,(주)외유내강,7.84
56,57,마스터,20161221,"58,068,236,865","7,150,586","1,501","126,927",20161725,Master,2016,장편,개봉,한국,"액션,범죄",한국,액션,조의석,영화사 집,8.65
57,58,터널,20160810,"57,530,028,417","7,120,780","1,105","113,214",20154910,Tunnel,2016,장편,개봉,한국,드라마,한국,드라마,김성훈,(주)어나더썬데이,8.63
58,59,어벤져스,20120426,"59,644,552,758","7,087,971",967,"112,559",20124721,The Avengers,2012,장편,개봉,미국,"액션,SF",미국,액션,조스 웨던,,9.50
59,60,내부자들,20151119,"56,605,193,557","7,073,581","1,129","152,783",20149314,Inside Men,2015,장편,개봉,한국,"범죄,드라마",한국,범죄,우민호,(유)내부자들 문화전문회사,9.06
60,61,인천상륙작전,20160727,"55,112,241,303","7,051,237","1,049","97,035",20156250,Operation Chromite ,2016,장편,개봉,한국,"전쟁,드라마",한국,전쟁,이재한,(주)태원엔터테인먼트,8.55
61,62,공조2: 인터내셔날,20220907,"70,917,452,586","6,982,940","2,389","275,816",20215601,Confidential Assignment2: International,2021,장편,개봉,한국,"액션,코미디",한국,액션,이석훈,(주)제이케이필름,7.93
62,63,럭키,20161013,"56,445,323,256","6,975,631","1,234","155,991",20153444,LUCK-KEY,2015,장편,개봉,한국,코미디,한국,코미디,이계벽,(주)용필름,8.76
63,64,은밀하게 위대하게,20130605,"48,700,887,413","6,959,083","1,341","117,463",20126672,Secretly Greatly,2013,장편,개봉,한국,"액션,코미디,드라마",한국,액션,장철수,(주)엠씨엠씨,7.12
64,65,범죄도시,20171003,"56,322,153,349","6,880,546","1,315","149,389",20172742,THE OUTLAWS,2017,장편,개봉,한국,"범죄,액션",한국,범죄,강윤성,(주)홍필름,
65,66,곡성,20160512,"55,864,308,382","6,879,989","1,485","130,332",20140194,THE WAILING,2016,장편,개봉,"한국,미국","미스터리,스릴러,드라마",한국,미스터리,나홍진,(주)사이드미러,8.23
66,67,화려한 휴가,20070725,"44,098,824,600","6,855,433",551,"96,536",20070209,May 18,2007,장편,개봉,한국,드라마,한국,드라마,김지훈,기획시대(주),7.54
67,68,"좋은 놈, 나쁜 놈, 이상한 놈",20080717,"43,755,980,300","6,686,075",824,"93,589",20072152,"The Good, The Bad, The Weird",2008,장편,개봉,한국,"서부극(웨스턴),액션,어드벤처",한국,서부극(웨스턴),김지운,(주)다크서클픽쳐스,7.74
68,69,늑대소년,20121031,"46,598,017,400","6,655,501",854,"109,262",20124054,A Werewolf Boy,2012,장편,개봉,한국,"멜로/로맨스,드라마,판타지",한국,멜로/로맨스,조성희,(주)영화사비단길,8.66
69,70,군함도,20170726,"50,510,565,168","6,592,151","2,027","108,775",20161481,The Battleship Island,2017,장편,개봉,한국,"액션,드라마",한국,액션,류승완,(주)외유내강,7.35
70,71,미션 임파서블: 폴아웃,20180725,"55,888,375,112","6,584,915","1,957","101,374",20181181,Mission:Impossible- Fallout,2018,장편,개봉,미국,"액션,스릴러",미국,액션,크리스토퍼 맥쿼리,파라마운트 픽쳐스,9.15
71,72,웰컴 투 동막골,20050804,"40,329,355,500","6,436,900",356,"72,129",20050180,Welcome To Dongmakgol,2005,장편,개봉,한국,"전쟁,드라마",한국,전쟁,박광현,필름있수다,8.89
72,73,다크 나이트 라이즈,20120719,"47,910,613,000","6,428,574","1,210","84,755",20112703,The Dark Knight Rises,2012,장편,개봉,"미국,영국","액션,범죄,스릴러",미국,액션,크리스토퍼 놀란,,9.56
73,74,사도,20150916,"48,846,723,501","6,247,745","1,210","124,276",20148846,The Throne,2014,장편,개봉,한국,사극,한국,사극,이준익,(주)타이거픽쳐스,8.49
74,75,아저씨,20100804,"47,110,894,000","6,179,525",501,"110,109",20100214,The Man From Nowhere,2010,장편,개봉,한국,"액션,드라마",한국,액션,이정범,오퍼스픽쳐스(유),9.25
75,76,킹스맨 : 시크릿 에이전트,20150211,"50,369,009,795","6,129,681",728,"139,988",20140110,Kingsman: The Secret Service,2014,장편,개봉,"미국,영국","액션,스릴러",미국,액션,매튜 본,,9.02
76,77,미션 임파서블: 로그네이션,20150730,"48,547,353,607","6,126,488","1,202","89,683",20157881,Mission: Impossible - Rogue Nation,2015,장편,개봉,미국,"액션,스릴러,어드벤처",미국,액션,크리스토퍼 맥쿼리,,8.81
77,78,미녀는 괴로워,20061214,"36,292,848,900","6,081,480",418,"87,141",20060387,200 Pounds Beauty,2006,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,김용화,리얼라이즈픽쳐스(주),8.79
78,79,전우치,20091223,"44,093,407,200","6,065,474",612,"102,357",20090077,Jeon Woochi: The Taoist Wizard,2009,장편,개봉,한국,"액션,코미디,판타지",한국,액션,최동훈,영화사 집,8.22
79,80,연평해전,20150624,"45,570,305,830","6,045,393","1,013","114,493",20134798,Northern Limit Line,2015,장편,개봉,한국,드라마,한국,드라마,김학순,(주)로제타시네마,9.14
80,81,인셉션,20100721,"45,147,601,940","6,014,577",531,"93,335",20100312,Inception,2010,장편,개봉,미국,"드라마,미스터리",미국,드라마,크리스토퍼 놀란,워너 브러더스 픽쳐스,9.52
81,82,레미제라블,20121219,"43,202,030,213","5,940,975",696,"85,408",20128274,Les Miserables,2012,장편,개봉,미국,드라마,미국,드라마,톰 후퍼,,8.46
82,83,닥터 스트레인지: 대혼돈의 멀티버스,20220504,"62,648,728,870","5,884,587","2,691","211,097",20212855,Doctor Strange in the Multiverse of Madness,2022,장편,개봉,미국,"액션,어드벤처,판타지",미국,액션,샘 레이미,,7.74
83,84,캡틴 마블,20190306,"51,507,488,723","5,802,810","2,100","186,382",20181877,Captain Marvel,2018,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,애너 보든,,
84,85,타짜,20060928,"36,263,483,300","5,692,997",492,"77,625",20060277,Tazza: The High Rollers,2006,장편,개봉,한국,드라마,한국,드라마,최동훈,(주)싸이더스,6.77
85,86,쥬라기 월드: 폴른 킹덤,20180606,"49,770,711,037","5,661,128","1,972","144,779",20179086,JURASSIC WORLD: FALLEN KINGDOM,2018,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,후안 안토니오 바요나,,8.55
86,87,청년경찰,20170809,"44,382,020,516","5,653,444","1,102","118,547",20162442,Midnight Runners,2017,장편,개봉,한국,액션,한국,액션,김주환,(주)무비락,9.03
87,88,숨바꼭질,20130814,"39,602,995,500","5,604,106",779,"88,066",20136049,Hide and Seek,2013,장편,개봉,한국,스릴러,한국,스릴러,허정,(주)드림캡쳐,6.74
88,89,덕혜옹주,20160803,"44,397,617,609","5,599,995",964,"97,327",20150979,The Last Princess,2016,장편,개봉,한국,"사극,드라마",한국,사극,허진호,(주)하이브미디어코프,8.72
