,순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,영화코드,영화명(영어),제작년도,영화유형,제작상태,제작국가,영화장르,대표국가,대표 장르,디렉터,제작사,평점
120,121,토르: 라그나로크,20171025,"39,261,266,595","4,858,572","1,640","137,496",20175121,THOR: RAGNAROK,2017,장편,개봉,미국,"액션,어드벤처,판타지,SF",미국,액션,타이카 와이티티,,9.03
121,122,어메이징 스파이더맨,20120628,"41,165,656,235","4,853,273","1,118","92,766",20126077,The Amazing Spider - Man,2012,장편,개봉,미국,액션,미국,액션,마크 웹,,8.06
122,123,"님아, 그 강을 건너지 마오",20141127,"37,360,250,579","4,802,642",806,"93,556",20141111,"My Love, Don't Cross That River",2014,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,진모영,아거스필름,9.16
123,124,봉오동 전투,20190807,"40,588,894,538","4,787,579","1,476","107,032",20184462,The Battle: Roar to Victory,2019,장편,개봉,한국,"사극,액션,드라마",한국,사극,원신연,(주)빅스톤픽쳐스,9.07
124,125,조선명탐정 : 각시투구꽃의 비밀,20110127,"35,841,769,500","4,786,259",634,"84,189",20102414,Detective K : Secret of Virtuous Widow,2010,장편,개봉,한국,"코미디,액션",한국,코미디,김석윤,청년필름(주),8.12
125,126,군도: 민란의 시대,20140723,"36,991,750,499","4,775,924","1,394","67,260",20123501,KUNDO : Age of the Rampant,2013,장편,개봉,한국,"사극,액션",한국,사극,윤종빈,(주)영화사 월광,7.34
126,127,남산의 부장들,20200122,"41,225,216,650","4,750,345","1,659","140,053",20180939,The Man Standing Next,2019,장편,개봉,한국,드라마,한국,드라마,우민호,(주)하이브미디어코프,8.46
127,128,라이온 킹,20190717,"41,519,732,430","4,743,295","1,936","126,503",20175771,The Lion King,2018,장편,개봉,미국,"어드벤처,드라마,가족",미국,어드벤처,존 파브로,,9.29
128,129,범죄와의 전쟁: 나쁜놈들 전성시대,20120202,"36,540,977,500","4,720,172",713,"91,915",20113557,Nameless Gangster : Rules of the Time,2011,장편,개봉,한국,"범죄,드라마",한국,범죄,윤종빈,(주)팔레트픽처스,8.66
129,130,주토피아,20160217,"37,116,473,742","4,707,962",735,"131,096",20155501,Zootopia,2015,장편,개봉,미국,"애니메이션,액션,어드벤처",미국,애니메이션,바이론 하워드,,9.33
